Customer_id,Join_date,Gender,Age,predicted_LTV,no_history,LTV_segment
CUST00001,6/2/2023,Other,59,2151.061,0,Top
CUST00002,9/4/2023,Male,40,4933.8716,0,Top
CUST00003,4/2/2024,Male,21,2858.7407,0,Top
CUST00004,2/12/2023,Other,43,878.9279,0,Mid
CUST00005,9/17/2023,Female,35,2238.849,0,Top
CUST00006,10/30/2022,Male,30,3682.7515,0,Top
CUST00007,5/14/2023,Male,25,383.57224,0,Low
CUST00008,4/25/2024,Male,70,2385.7825,0,Top
CUST00009,7/23/2022,Other,47,640.0986,0,Mid
CUST00010,3/24/2023,Male,23,133.8766,0,Low
CUST00011,8/26/2022,Other,60,412.7022,0,Low
CUST00012,5/11/2022,Other,31,124.25477,0,Low
CUST00013,5/28/2022,Other,59,3447.2322,0,Top
CUST00014,4/21/2023,Male,58,2027.1671,0,Top
CUST00015,10/20/2023,Other,56,960.6775,0,Mid
CUST00016,6/18/2023,Female,19,3771.8164,0,Top
CUST00017,8/14/2023,Male,21,3562.6755,0,Top
CUST00018,6/15/2022,Male,68,1890.0992,0,High
CUST00019,6/21/2023,Male,39,121.7858,0,Low
CUST00020,5/14/2023,Male,33,2045.5214,0,Top
CUST00021,8/10/2023,Male,26,1977.0557,0,High
CUST00022,3/12/2023,Other,68,1321.5665,0,High
CUST00023,9/29/2023,Other,54,1498.3427,0,High
CUST00024,6/7/2022,Male,31,4757.994,0,Top
CUST00025,7/4/2023,Other,22,4323.874,0,Top
CUST00026,8/29/2023,Male,66,3872.6057,0,Top
CUST00027,7/21/2023,Other,53,2411.9897,0,Top
CUST00028,8/16/2022,Other,31,1139.2258,0,High
CUST00029,9/12/2022,Other,55,626.94745,0,Mid
CUST00030,5/10/2023,Other,31,387.54486,0,Low
CUST00031,11/19/2022,Female,70,862.969,0,Mid
CUST00032,10/9/2023,Male,32,5536.4673,0,Top
CUST00033,3/11/2024,Female,39,3974.246,0,Top
CUST00034,3/25/2023,Other,67,3205.489,0,Top
CUST00035,11/15/2023,Female,27,2519.0286,0,Top
CUST00036,3/14/2024,Male,68,798.3518,0,Mid
CUST00037,9/19/2022,Male,56,2792.9824,0,Top
CUST00038,11/24/2022,Other,18,142.78441,0,Low
CUST00039,11/14/2022,Female,35,2969.976,0,Top
CUST00040,10/14/2023,Female,27,1960.0698,0,High
CUST00041,1/12/2024,Female,26,3357.984,0,Top
CUST00042,10/27/2023,Male,52,4366.09,0,Top
CUST00043,8/22/2023,Male,34,4409.0825,0,Top
CUST00044,11/6/2023,Female,69,5517.4307,0,Top
CUST00045,10/16/2023,Male,29,2789.106,0,Top
CUST00046,1/26/2023,Male,25,4563.8047,0,Top
CUST00047,6/9/2022,Female,60,663.7224,0,Mid
CUST00048,4/22/2024,Male,19,1994.0051,0,High
CUST00049,4/20/2023,Female,26,3657.7256,0,Top
CUST00050,8/17/2023,Female,18,1989.2783,0,High
CUST00051,4/30/2022,Other,40,4324.3223,0,Top
CUST00052,11/6/2023,Female,68,4598.921,0,Top
CUST00053,12/3/2023,Male,68,3164.7969,0,Top
CUST00054,7/21/2023,Other,33,3036.0876,0,Top
CUST00055,2/24/2023,Female,55,1132.6412,0,High
CUST00056,10/14/2023,Other,38,2493.5435,0,Top
CUST00057,7/28/2023,Male,19,1981.4307,0,High
CUST00058,3/22/2024,Female,29,6415.052,0,Top
CUST00059,5/13/2022,Male,34,2719.2942,0,Top
CUST00060,11/17/2023,Other,21,3442.5454,0,Top
CUST00061,8/5/2022,Female,26,2233.577,0,Top
CUST00062,10/22/2023,Other,65,1292.6404,0,High
CUST00063,5/8/2022,Other,44,3127.8733,0,Top
CUST00064,4/8/2023,Female,51,1462.4265,0,High
CUST00065,12/8/2022,Other,25,350.5908,0,Low
CUST00066,5/1/2022,Male,65,859.0801,0,Mid
CUST00067,1/21/2024,Other,22,3220.4534,0,Top
CUST00068,7/31/2023,Male,48,1549.4026,0,High
CUST00069,1/4/2024,Male,46,1824.638,0,High
CUST00070,6/15/2023,Other,67,1253.7681,0,High
CUST00071,3/19/2024,Male,41,2796.8035,0,Top
CUST00072,5/24/2022,Female,50,2596.652,0,Top
CUST00073,5/8/2022,Male,55,1205.6182,0,High
CUST00074,11/10/2023,Male,24,3581.0217,0,Top
CUST00075,1/3/2024,Male,46,2314.281,0,Top
CUST00076,11/11/2023,Female,50,889.57623,0,Mid
CUST00077,10/15/2023,Female,32,1747.0809,0,High
CUST00078,4/23/2023,Female,57,407.70758,0,Low
CUST00079,4/17/2023,Other,20,3142.3333,0,Top
CUST00080,11/18/2022,Female,64,930.6104,0,Mid
CUST00081,2/6/2023,Male,68,3420.1785,0,Top
CUST00082,1/1/2023,Female,60,1363.5702,0,High
CUST00083,4/25/2024,Female,51,3081.3564,0,Top
CUST00084,9/7/2022,Male,37,2265.2993,0,Top
CUST00085,3/20/2023,Other,47,4600.0254,0,Top
CUST00086,4/30/2022,Female,59,2580.4292,0,Top
CUST00087,2/28/2024,Other,19,4762.782,0,Top
CUST00088,3/1/2023,Other,21,2050.822,0,Top
CUST00089,8/29/2022,Other,48,1872.6793,0,High
CUST00090,7/21/2023,Male,43,4351.745,0,Top
CUST00091,3/27/2023,Other,45,2163.6233,0,Top
CUST00092,2/9/2023,Other,61,499.31583,0,Low
CUST00093,8/5/2022,Male,24,1817.7178,0,High
CUST00094,6/7/2023,Other,49,3782.4368,0,Top
CUST00095,9/1/2022,Other,63,4288.482,0,Top
CUST00096,7/25/2022,Male,46,5332.538,0,Top
CUST00097,4/6/2024,Male,22,2336.9778,0,Top
CUST00098,6/1/2022,Female,23,3587.0752,0,Top
CUST00099,7/31/2023,Female,38,382.46472,0,Low
CUST00100,2/7/2024,Female,56,4847.687,0,Top
CUST00101,1/20/2023,Other,27,3856.9238,0,Top
CUST00102,12/31/2022,Other,22,3569.701,0,Top
CUST00103,11/10/2022,Other,26,254.91196,0,Low
CUST00104,1/25/2023,Male,35,4411.5386,0,Top
CUST00105,1/30/2024,Other,57,3396.8616,0,Top
CUST00106,9/1/2022,Female,58,311.3869,0,Low
CUST00107,12/19/2023,Male,55,696.6102,0,Mid
CUST00108,2/12/2024,Male,53,5604.408,0,Top
CUST00109,3/2/2024,Male,63,2158.0137,0,Top
CUST00110,12/24/2022,Female,38,1850.1484,0,High
CUST00111,4/25/2023,Female,42,3326.0886,0,Top
CUST00112,11/9/2023,Female,56,3294.54,0,Top
CUST00113,12/7/2022,Male,51,3073.5784,0,Top
CUST00114,8/1/2022,Male,36,860.37146,0,Mid
CUST00115,1/30/2023,Other,47,3633.412,0,Top
CUST00116,11/2/2022,Other,50,5440.4624,0,Top
CUST00117,8/27/2022,Female,56,5327.453,0,Top
CUST00118,12/14/2022,Male,45,3185.6301,0,Top
CUST00119,4/9/2023,Other,24,1555.4891,0,High
CUST00120,5/19/2023,Female,68,1769.0305,0,High
CUST00121,7/12/2022,Female,62,1413.8027,0,High
CUST00122,6/30/2023,Other,25,4824.147,0,Top
CUST00123,3/30/2024,Female,59,213.73947,0,Low
CUST00124,3/17/2024,Male,59,1229.0394,0,High
CUST00125,10/11/2022,Female,67,2839.5461,0,Top
CUST00126,12/13/2023,Male,53,4992.258,0,Top
CUST00127,3/31/2024,Male,64,810.76135,0,Mid
CUST00128,3/31/2024,Other,31,5414.648,0,Top
CUST00129,12/15/2022,Other,45,1239.5804,0,High
CUST00130,12/18/2022,Other,46,4561.8755,0,Top
CUST00131,7/23/2023,Female,32,1584.3015,0,High
CUST00132,8/16/2022,Other,44,2230.5598,0,Top
CUST00133,10/1/2023,Other,39,642.1756,0,Mid
CUST00134,1/30/2024,Female,70,131.95714,0,Low
CUST00135,3/28/2023,Other,47,1458.4955,0,High
CUST00136,2/18/2023,Female,43,3062.9888,0,Top
CUST00137,10/6/2023,Female,44,2467.5479,0,Top
CUST00138,1/23/2023,Male,64,1396.9648,0,High
CUST00139,8/13/2023,Male,24,3067.1555,0,Top
CUST00140,8/5/2022,Other,38,5042.3286,0,Top
CUST00141,5/26/2022,Female,45,4025.0461,0,Top
CUST00142,1/19/2023,Male,38,1737.048,0,High
CUST00143,4/6/2023,Male,60,2358.686,0,Top
CUST00144,12/19/2023,Male,34,2818.3928,0,Top
CUST00145,6/27/2023,Male,41,431.06018,0,Low
CUST00146,9/30/2023,Other,27,3601.9822,0,Top
CUST00147,3/4/2024,Male,61,5718.149,0,Top
CUST00148,5/7/2023,Other,48,5794.354,0,Top
CUST00149,5/18/2023,Female,22,4141.552,0,Top
CUST00150,3/25/2023,Other,23,1085.637,0,High
CUST00151,6/21/2023,Male,23,264.32968,0,Low
CUST00152,1/24/2023,Female,23,1201.4977,0,High
CUST00153,2/11/2023,Female,45,4504.6504,0,Top
CUST00154,2/20/2023,Other,24,2471.9058,0,Top
CUST00155,9/19/2022,Female,65,1325.7883,0,High
CUST00156,5/7/2023,Other,65,3218.9778,0,Top
CUST00157,11/5/2022,Female,41,5166.6606,0,Top
CUST00158,3/3/2023,Other,69,2353.7998,0,Top
CUST00159,3/22/2024,Male,26,2909.759,0,Top
CUST00160,1/4/2023,Other,53,1914.896,0,High
CUST00161,2/2/2023,Other,21,3860.875,0,Top
CUST00162,4/11/2024,Male,55,266.1478,0,Low
CUST00163,7/15/2023,Other,53,166.75269,0,Low
CUST00164,4/18/2023,Other,53,446.92926,0,Low
CUST00165,3/22/2024,Female,39,1475.3269,0,High
CUST00166,1/9/2024,Other,60,5605.858,0,Top
CUST00167,4/14/2024,Female,25,4615.9907,0,Top
CUST00168,8/18/2023,Male,44,851.9735,0,Mid
CUST00169,6/21/2023,Female,40,2580.2124,0,Top
CUST00170,6/20/2022,Female,60,2029.45,0,Top
CUST00171,6/19/2022,Male,66,4800.938,0,Top
CUST00172,8/30/2022,Female,45,517.12646,0,Mid
CUST00173,8/27/2022,Male,64,1081.6488,0,High
CUST00174,10/13/2022,Other,21,2988.2378,0,Top
CUST00175,5/1/2023,Other,36,2165.725,0,Top
CUST00176,7/20/2022,Female,56,3189.3708,0,Top
CUST00177,4/11/2023,Other,37,3487.8647,0,Top
CUST00178,7/4/2023,Male,40,2539.0452,0,Top
CUST00179,2/2/2024,Other,24,4678.423,0,Top
CUST00180,1/18/2023,Male,54,2703.7737,0,Top
CUST00181,4/7/2023,Other,50,3970.0786,0,Top
CUST00182,1/9/2023,Female,31,4909.397,0,Top
CUST00183,1/19/2023,Other,27,1728.5146,0,High
