Customer_id,Join_date,Gender,Age
CUST00001,6/2/2023,Other,59
CUST00002,9/4/2023,Male,40
CUST00003,4/2/2024,Male,21
CUST00004,2/12/2023,Other,43
CUST00005,9/17/2023,Female,35
CUST00006,10/30/2022,Male,30
CUST00007,5/14/2023,Male,25
CUST00008,4/25/2024,Male,70
CUST00009,7/23/2022,Other,47
CUST00010,3/24/2023,Male,23
CUST00011,8/26/2022,Other,60
CUST00012,5/11/2022,Other,31
CUST00013,5/28/2022,Other,59
CUST00014,4/21/2023,Male,58
CUST00015,10/20/2023,Other,56
CUST00016,6/18/2023,Female,19
CUST00017,8/14/2023,Male,21
CUST00018,6/15/2022,Male,68
CUST00019,6/21/2023,Male,39
CUST00020,5/14/2023,Male,33
CUST00021,8/10/2023,Male,26
CUST00022,3/12/2023,Other,68
CUST00023,9/29/2023,Other,54
CUST00024,6/7/2022,Male,31
CUST00025,7/4/2023,Other,22
CUST00026,8/29/2023,Male,66
CUST00027,7/21/2023,Other,53
CUST00028,8/16/2022,Other,31
CUST00029,9/12/2022,Other,55
CUST00030,5/10/2023,Other,31
CUST00031,11/19/2022,Female,70
CUST00032,10/9/2023,Male,32
CUST00033,3/11/2024,Female,39
CUST00034,3/25/2023,Other,67
CUST00035,11/15/2023,Female,27
CUST00036,3/14/2024,Male,68
CUST00037,9/19/2022,Male,56
CUST00038,11/24/2022,Other,18
CUST00039,11/14/2022,Female,35
CUST00040,10/14/2023,Female,27
CUST00041,1/12/2024,Female,26
CUST00042,10/27/2023,Male,52
CUST00043,8/22/2023,Male,34
CUST00044,11/6/2023,Female,69
CUST00045,10/16/2023,Male,29
CUST00046,1/26/2023,Male,25
CUST00047,6/9/2022,Female,60
CUST00048,4/22/2024,Male,19
CUST00049,4/20/2023,Female,26
CUST00050,8/17/2023,Female,18
CUST00051,4/30/2022,Other,40
CUST00052,11/6/2023,Female,68
CUST00053,12/3/2023,Male,68
CUST00054,7/21/2023,Other,33
CUST00055,2/24/2023,Female,55
CUST00056,10/14/2023,Other,38
CUST00057,7/28/2023,Male,19
CUST00058,3/22/2024,Female,29
CUST00059,5/13/2022,Male,34
CUST00060,11/17/2023,Other,21
CUST00061,8/5/2022,Female,26
CUST00062,10/22/2023,Other,65
CUST00063,5/8/2022,Other,44
CUST00064,4/8/2023,Female,51
CUST00065,12/8/2022,Other,25
CUST00066,5/1/2022,Male,65
CUST00067,1/21/2024,Other,22
CUST00068,7/31/2023,Male,48
CUST00069,1/4/2024,Male,46
CUST00070,6/15/2023,Other,67
CUST00071,3/19/2024,Male,41
CUST00072,5/24/2022,Female,50
CUST00073,5/8/2022,Male,55
CUST00074,11/10/2023,Male,24
CUST00075,1/3/2024,Male,46
CUST00076,11/11/2023,Female,50
CUST00077,10/15/2023,Female,32
CUST00078,4/23/2023,Female,57
CUST00079,4/17/2023,Other,20
CUST00080,11/18/2022,Female,64
CUST00081,2/6/2023,Male,68
CUST00082,1/1/2023,Female,60
CUST00083,4/25/2024,Female,51
CUST00084,9/7/2022,Male,37
CUST00085,3/20/2023,Other,47
CUST00086,4/30/2022,Female,59
CUST00087,2/28/2024,Other,19
CUST00088,3/1/2023,Other,21
CUST00089,8/29/2022,Other,48
CUST00090,7/21/2023,Male,43
CUST00091,3/27/2023,Other,45
CUST00092,2/9/2023,Other,61
CUST00093,8/5/2022,Male,24
CUST00094,6/7/2023,Other,49
CUST00095,9/1/2022,Other,63
CUST00096,7/25/2022,Male,46
CUST00097,4/6/2024,Male,22
CUST00098,6/1/2022,Female,23
CUST00099,7/31/2023,Female,38
CUST00100,2/7/2024,Female,56
CUST00101,1/20/2023,Other,27
CUST00102,12/31/2022,Other,22
CUST00103,11/10/2022,Other,26
CUST00104,1/25/2023,Male,35
CUST00105,1/30/2024,Other,57
CUST00106,9/1/2022,Female,58
CUST00107,12/19/2023,Male,55
CUST00108,2/12/2024,Male,53
CUST00109,3/2/2024,Male,63
CUST00110,12/24/2022,Female,38
CUST00111,4/25/2023,Female,42
CUST00112,11/9/2023,Female,56
CUST00113,12/7/2022,Male,51
CUST00114,8/1/2022,Male,36
CUST00115,1/30/2023,Other,47
CUST00116,11/2/2022,Other,50
CUST00117,8/27/2022,Female,56
CUST00118,12/14/2022,Male,45
CUST00119,4/9/2023,Other,24
CUST00120,5/19/2023,Female,68
CUST00121,7/12/2022,Female,62
CUST00122,6/30/2023,Other,25
CUST00123,3/30/2024,Female,59
CUST00124,3/17/2024,Male,59
CUST00125,10/11/2022,Female,67
CUST00126,12/13/2023,Male,53
CUST00127,3/31/2024,Male,64
CUST00128,3/31/2024,Other,31
CUST00129,12/15/2022,Other,45
CUST00130,12/18/2022,Other,46
CUST00131,7/23/2023,Female,32
