Customer_id,Order_id,Order_date,Order_amount
CUST00001,ORDF60D29D8,5/17/2023,383.31
CUST00001,ORD18AFDB98,10/22/2023,343.37
CUST00001,ORD5D9E695B,8/13/2024,301.95
CUST00001,ORD04746CE6,2/23/2024,395.81
CUST00001,ORDA9276CFE,1/29/2025,267.5
CUST00001,ORD5466C030,6/20/2024,268.8
CUST00001,ORDDD14302D,2/21/2025,187.27
CUST00002,ORDACA56034,4/11/2024,64.98
CUST00002,ORD77DD9087,9/2/2024,416.1
CUST00002,ORD2991E384,8/22/2024,452.42
CUST00002,ORD27C5A2FD,4/11/2025,109.06
CUST00002,ORD58AAE068,9/11/2024,272.96
CUST00002,ORD49F4493D,5/7/2024,90.62
CUST00002,ORDE75CA54D,11/29/2024,428.7
CUST00002,ORD64BD9E7E,4/20/2024,226.5
CUST00002,ORD184A997C,3/14/2024,343.34
CUST00002,ORDED0CA75B,5/26/2024,361.29
CUST00002,ORDE0A0BE37,7/14/2024,249.53
CUST00002,ORDC6FEDE8C,10/11/2024,450.46
CUST00002,ORDFB528983,11/11/2024,228.29
CUST00002,ORDA5D5FB46,4/14/2025,37.26
CUST00002,ORD8DB832FF,12/23/2024,74.65
CUST00002,ORD250B1555,3/9/2024,213.56
CUST00002,ORDE4876B70,2/20/2024,286.32
CUST00002,ORDDB7A7E0F,1/24/2025,283.81
CUST00002,ORDCECC57A6,2/23/2024,339.66
CUST00003,ORD35188BB4,6/19/2024,364.41
CUST00003,ORDDB1197E6,4/3/2025,204.01
CUST00003,ORDAF3BC9A6,4/21/2024,410.06
CUST00003,ORD7F06FD7E,10/15/2024,375.44
CUST00003,ORD48D7F01A,9/6/2024,293.37
CUST00003,ORDC8CFA219,6/4/2024,32.19
CUST00003,ORD3B078F91,9/14/2024,178.82
CUST00003,ORDFAF60F87,4/22/2025,41.24
CUST00003,ORD67AB0F9F,5/23/2024,497.12
CUST00003,ORD2B3809C9,11/16/2024,467.95
CUST00004,ORDA7955B77,2/27/2025,493.21
CUST00004,ORDD9FE6A22,2/26/2025,241.31
CUST00004,ORD8E95FFA8,6/15/2024,150.67
CUST00005,ORDAF0BC2FF,3/7/2025,386.8
CUST00005,ORD241C6233,2/2/2025,385.26
CUST00005,ORD5AFF3888,7/5/2024,489.38
CUST00005,ORD7EF60315,12/20/2024,326.48
CUST00005,ORD525CED35,8/30/2024,215.98
CUST00005,ORDC4E8CECA,1/14/2025,496.5
CUST00006,ORD34B8612B,4/16/2024,229.78
CUST00006,ORDD5778750,10/25/2023,459.39
CUST00006,ORD1224A58A,8/4/2023,194.97
CUST00006,ORD0DCF0124,2/14/2024,49.32
CUST00006,ORD4A08FC20,1/9/2025,482.43
CUST00006,ORD27BA551F,1/10/2025,438.53
CUST00006,ORD9AF74557,11/27/2023,75.17
CUST00006,ORD4DFB05D7,7/20/2023,431.54
CUST00006,ORD3F3244F9,12/31/2023,68.13
CUST00006,ORDF430B231,12/14/2024,496.49
CUST00006,ORDF2AC40C2,3/15/2025,202.6
CUST00006,ORDDAE9E8F5,1/1/2024,72.4
CUST00006,ORD08E70B41,10/16/2023,489.57
CUST00007,ORD5745D6E0,3/10/2025,380.53
CUST00008,ORD8E0AB555,4/9/2025,236.87
CUST00008,ORD6C18B970,7/13/2024,362.36
CUST00008,ORDBAE31285,7/9/2024,217.82
CUST00008,ORD5B5BD68D,1/2/2025,195.85
CUST00008,ORDDC19C049,12/26/2024,122.54
CUST00008,ORDBD4117B0,1/5/2024,235.71
CUST00008,ORD79B0784C,4/16/2025,86.01
CUST00008,ORDBE4F6B62,4/1/2025,102.36
CUST00008,ORD58A06927,4/25/2024,438.85
CUST00008,ORD98423D25,3/25/2024,385.09
CUST00009,ORD00F827A0,4/3/2024,406.64
CUST00009,ORD977565CC,12/8/2023,215.43
CUST00010,ORDCE6F810A,1/10/2024,127.93
CUST00011,ORD2AC2AA39,7/13/2023,59.44
CUST00011,ORD4FB39358,2/9/2024,26.45
CUST00011,ORDD255F450,2/22/2024,302.91
CUST00012,ORDAF324B31,1/14/2024,129.92
CUST00012,ORDD0D35232,9/13/2023,31.68
CUST00013,ORD12A4C081,12/11/2024,124.83
CUST00013,ORD17EFED8E,3/21/2025,116.46
CUST00013,ORD6DF60620,1/30/2025,433.23
CUST00013,ORDA4669F4D,10/14/2024,37.66
CUST00013,ORD52902E0A,8/23/2024,256.91
CUST00013,ORD4257392F,3/26/2025,151.74
CUST00013,ORDEB5FDEE6,6/30/2024,409.74
CUST00013,ORDB3C4CAE9,2/5/2024,368.44
CUST00013,ORD78EB2387,2/21/2025,166.26
CUST00013,ORD69EEE3A0,12/4/2024,302.98
CUST00013,ORDFD823A67,8/24/2024,339.54
CUST00013,ORDDF248B14,7/16/2024,167.13
CUST00013,ORD0DBD2D7D,2/3/2024,157.86
CUST00013,ORD0590FB94,2/2/2024,80.2
CUST00013,ORD89A91EB2,1/18/2025,333.5
CUST00014,ORD694B9FBA,11/10/2024,212.64
CUST00014,ORDA1404203,10/19/2024,144.83
CUST00014,ORD3052FB6B,7/28/2024,282.79
CUST00014,ORD61CDC4E3,3/30/2025,299.92
CUST00014,ORDBF132E0C,4/19/2024,370.25
CUST00014,ORD070B2EE2,1/19/2025,95.82
CUST00014,ORD24536D5E,7/3/2024,342.59
CUST00014,ORDFD634C55,1/6/2025,282.37
CUST00015,ORD2C33A657,8/22/2024,486.42
CUST00015,ORD77A15E1A,12/11/2024,471.38
CUST00016,ORDE19285F2,8/19/2024,395.04
CUST00016,ORDC079AA27,10/9/2024,166.18
CUST00016,ORDE453A44F,8/14/2024,214
CUST00016,ORDEB38F8B9,10/18/2024,83.12
CUST00016,ORD8C681BEE,11/20/2024,194.47
CUST00016,ORDF528AAA4,1/28/2025,379.66
CUST00016,ORDC0163DE1,12/15/2024,242.02
CUST00016,ORD1786C135,5/5/2024,426.18
CUST00016,ORD89DC3466,8/15/2024,157.36
CUST00016,ORD5CB85441,10/11/2024,356.71
CUST00016,ORD25BD9455,3/14/2025,404.83
CUST00016,ORD67055E1F,1/27/2025,458.22
CUST00016,ORDDEF50A6B,6/8/2024,285.57
CUST00017,ORDB82C02F0,8/19/2024,283.07
CUST00017,ORDCA485F8C,7/16/2024,75.71
CUST00017,ORD6BD6703C,8/13/2024,129
CUST00017,ORDEF9AB2BA,4/26/2024,109.63
CUST00017,ORDECB07506,8/15/2024,326.89
CUST00017,ORDE89888FD,4/28/2024,461.89
CUST00017,ORD174F50AB,12/15/2024,425.1
CUST00017,ORDAC3268CD,12/28/2024,55.31
CUST00017,ORDF99D69BE,6/5/2024,365.05
CUST00017,ORD2698BB2B,2/11/2025,103.34
CUST00017,ORDB51E19EC,6/24/2024,141.55
CUST00017,ORD05CA6AD1,3/6/2024,340.1
CUST00017,ORD9C19CA84,8/8/2024,305.43
CUST00017,ORD25FA5DE9,3/3/2025,438.07
CUST00018,ORDCEE2B0A3,9/14/2024,404.28
CUST00018,ORD3A632CCA,5/1/2024,297.92
CUST00018,ORD822B21FA,2/14/2025,339.01
CUST00018,ORD02FA5CAE,2/6/2025,116.34
CUST00018,ORD0051C743,2/17/2025,112.36
CUST00018,ORD99BB1A3B,9/13/2024,454.45
CUST00018,ORDC55C9A2F,1/5/2025,158.56
CUST00019,ORD418B72BB,12/16/2024,113.79
CUST00020,ORD7387FBCF,6/3/2024,481.42
CUST00020,ORDEF2DBE86,1/20/2024,67.48
CUST00020,ORDFD46320C,5/14/2024,499.79
CUST00020,ORD0427F8F6,8/7/2023,244.67
CUST00020,ORDDA828EB8,8/29/2023,128.87
CUST00020,ORDC7322DED,8/19/2024,306.16
CUST00020,ORDAD24615C,9/12/2024,110.21
CUST00021,ORDFF5B53CC,3/15/2025,280.52
CUST00021,ORD35E8AA76,3/22/2025,390
CUST00021,ORDBCE5AB3E,1/21/2025,196.52
CUST00021,ORD317DD3D0,4/11/2025,271.49
CUST00021,ORD545F0175,11/24/2024,186.04
CUST00021,ORD0280BE4F,1/11/2025,138.17
CUST00021,ORD80ABCCB0,5/24/2024,261.28
CUST00021,ORDA88AD88A,4/28/2024,253.67
CUST00022,ORD940910B0,10/19/2024,403.38
CUST00022,ORD85D9E24B,10/10/2023,363.98
CUST00022,ORDD223F505,1/6/2024,383.2
CUST00022,ORD4A1DCF67,2/25/2025,166.91
CUST00023,ORDF9EC0309,1/9/2024,191.65
CUST00023,ORD959F150D,4/11/2024,212.83
CUST00023,ORD6ABDC140,1/18/2025,285.64
CUST00023,ORD22E2C74F,10/17/2024,118.42
CUST00023,ORDFEAB44B0,2/18/2025,81.5
CUST00023,ORDE9FEBC7D,2/17/2024,137.78
CUST00023,ORDB1A6B343,10/18/2023,468.03
CUST00024,ORDD2AF2678,2/3/2025,362.81
CUST00024,ORD157DE520,12/3/2024,154.64
CUST00024,ORD31C35261,11/5/2023,106.13
CUST00024,ORDFE40DA63,10/18/2024,122.71
CUST00024,ORDF7EA081A,2/10/2024,289.2
CUST00024,ORDB05A1B59,9/9/2023,130.41
CUST00024,ORDF5C60BCE,9/27/2024,279.81
CUST00024,ORDFFC7A2D1,8/10/2023,472.3
CUST00024,ORD5F05B265,3/8/2024,175.41
CUST00024,ORD5AF3020F,11/23/2023,384.05
CUST00024,ORD5D006169,11/1/2024,249.42
CUST00024,ORDEFCC4D84,3/15/2024,364.54
CUST00024,ORD7FE1E3C6,11/3/2024,372.4
CUST00024,ORD3B7B099B,9/29/2024,235.81
CUST00024,ORDBB58EEDF,7/12/2024,369.06
CUST00024,ORD174D22CA,10/10/2024,182.57
CUST00024,ORDE151307F,3/28/2025,78.58
CUST00024,ORDE9E9343A,2/23/2024,277.81
CUST00024,ORDDB9EF3D8,3/19/2024,100.18
CUST00025,ORD960BD43C,8/6/2024,495.26
CUST00025,ORD29791C16,5/18/2024,479.05
CUST00025,ORD4AA8B2D8,1/17/2025,266.73
CUST00025,ORDF41D9789,12/13/2024,421.14
CUST00025,ORDA3513290,8/30/2024,46.42
CUST00025,ORD019BF634,3/24/2025,410.82
CUST00025,ORD1EF2C7F8,12/13/2024,33.77
CUST00025,ORD6EE788D5,10/21/2024,13.13
CUST00025,ORDF49AB658,4/12/2025,77.37
CUST00025,ORD68323EA0,3/14/2025,319.04
CUST00025,ORD0A9B7E2C,11/16/2024,43.3
CUST00025,ORD7F7B63CE,9/14/2024,84
CUST00025,ORD0AFD5F93,11/7/2024,117.17
CUST00025,ORDFC4008E0,7/6/2024,233.44
CUST00025,ORD8C8B8B58,8/24/2024,39.62
CUST00025,ORDE204B7B2,5/13/2024,322.49
CUST00025,ORD7ED3092B,4/23/2025,467.61
CUST00025,ORD6E4EC21C,3/29/2024,457.25
CUST00026,ORDB8BDF55A,4/27/2025,17.71
CUST00026,ORDE892DE1D,4/28/2024,270.78
CUST00026,ORD38746946,5/19/2024,211.56
CUST00026,ORD4B8C1F9C,6/19/2024,18.2
CUST00026,ORDD11FAEEA,3/29/2025,363.87
CUST00026,ORD02E17D41,3/14/2024,272.51
CUST00026,ORDC384DD21,6/1/2024,150.48
CUST00026,ORD275AD654,3/5/2024,256.09
CUST00026,ORD79282A80,3/14/2024,351.95
CUST00026,ORD9B932FD8,5/2/2024,220.98
CUST00026,ORD7EF14F24,10/28/2024,470.46
CUST00026,ORD77D80175,4/24/2025,97.84
CUST00026,ORD00C07B48,10/4/2024,459.84
CUST00026,ORD630A9F06,4/27/2025,266.95
CUST00026,ORD6A772C25,12/6/2024,128.07
CUST00026,ORDC6C4058B,11/27/2024,313.69
CUST00027,ORD48945BE2,2/14/2025,409.46
CUST00027,ORD276B0B8F,11/15/2024,140.99
CUST00027,ORD88B59FCA,10/8/2024,204.48
CUST00027,ORD3E2BE2F5,11/2/2024,192.8
CUST00027,ORD04AEC9DC,3/26/2025,208.95
CUST00027,ORDF9E5274E,1/22/2024,286.85
CUST00027,ORDC55B447D,1/3/2024,495.21
CUST00027,ORD1C649755,12/8/2024,120.67
CUST00027,ORDE1CCBA37,3/9/2025,345.18
CUST00028,ORDDD86C9BD,3/21/2024,330.33
CUST00028,ORD2966C0F4,8/25/2024,430.53
CUST00028,ORD5CB6CBF2,2/24/2025,382.2
CUST00029,ORD9792E337,12/29/2024,208.59
CUST00029,ORD31960B3C,5/4/2024,194.81
CUST00029,ORD0475DB6C,11/10/2024,243.24
CUST00030,ORD31F304CA,5/6/2024,354.39
CUST00031,ORDE71FB396,12/8/2023,254.93
CUST00031,ORD55855AB8,3/26/2024,222.62
CUST00031,ORD6CC487BC,12/26/2024,394.34
CUST00032,ORD78E00002,1/21/2025,488.89
CUST00032,ORDF361010E,11/11/2024,487.18
CUST00032,ORDEF7C2073,5/7/2024,448.45
CUST00032,ORDA6EBE5A5,2/9/2024,460.38
CUST00032,ORDB10DDD6B,2/1/2025,122.59
CUST00032,ORDD86D8EC2,2/19/2024,451.62
CUST00032,ORD4514CD2C,4/24/2025,349.22
CUST00032,ORDDC14B53F,9/21/2024,287.72
CUST00032,ORD7BC6B9B5,3/20/2025,142.84
CUST00032,ORDECD93936,3/29/2024,462.84
CUST00032,ORD834DA4B3,8/28/2024,345.37
CUST00032,ORD30C2A353,5/29/2024,147.38
CUST00032,ORD8B91790F,2/18/2024,276.09
CUST00032,ORDFF9645AB,9/29/2024,332.47
CUST00032,ORD1AD647F8,3/12/2024,97.88
CUST00032,ORD547E143C,1/24/2025,426.71
CUST00032,ORDD3F4CC96,5/25/2024,17.67
CUST00032,ORD761576B7,3/18/2025,111.51
CUST00032,ORDE5CC7B5B,2/14/2025,80.65
CUST00033,ORD8DA5F170,4/6/2024,465.15
CUST00033,ORD544A68DE,8/21/2024,156.65
CUST00033,ORD929006B3,7/19/2024,286.34
CUST00033,ORD4366DE53,8/29/2024,287.68
CUST00033,ORD3C3C7DEE,11/29/2024,426.23
CUST00033,ORD7BAB0554,12/31/2024,341.75
CUST00033,ORD7E7BB551,4/20/2024,274.88
CUST00033,ORDB3CF5790,1/20/2024,198.08
CUST00033,ORDEDA2E390,3/12/2025,372.48
CUST00033,ORDAB005124,4/13/2024,397.34
CUST00033,ORDE617B4C7,5/27/2024,347.76
CUST00033,ORD7F72DE39,11/14/2023,48.43
CUST00033,ORD1275CFDE,9/11/2024,375.27
CUST00034,ORDCD531376,9/20/2023,36.31
CUST00034,ORDA86D9F0B,10/24/2024,224.17
CUST00034,ORD5B6F04C0,10/31/2024,420.95
CUST00034,ORD823C4399,8/5/2023,176.89
CUST00034,ORD7DC6F76E,2/2/2025,386.81
CUST00034,ORD85894C1F,10/22/2024,477.88
CUST00034,ORD5C112A70,9/21/2024,204.38
CUST00034,ORD1C670B5D,2/27/2025,389.04
CUST00034,ORDB9EDC3C0,8/5/2023,24.52
CUST00034,ORD577BA56F,1/29/2024,143.93
CUST00034,ORD9334E0E0,10/26/2023,496.37
CUST00034,ORDD76AAEFE,7/16/2024,250.4
CUST00035,ORD09B7BA8A,11/12/2023,280.99
CUST00035,ORD143B6528,1/29/2024,193.96
CUST00035,ORDAD9E2899,5/6/2023,101.01
CUST00035,ORD2BF63095,7/28/2024,297.08
CUST00035,ORD59A4CA41,1/13/2025,196.24
CUST00035,ORDD44C2EFB,12/5/2023,388.36
CUST00035,ORD4B25AD49,9/27/2023,154.74
CUST00035,ORD1BA50B37,12/26/2024,130.76
CUST00035,ORD9F6B5866,6/17/2023,46.02
CUST00035,ORDC2964E42,7/26/2024,141.31
CUST00035,ORD461C2C8F,12/14/2024,196.2
CUST00035,ORD7AE3E4D2,10/26/2024,394.11
CUST00036,ORD02C02578,11/6/2023,372.43
CUST00036,ORD2C290C16,5/23/2024,165.17
CUST00036,ORDE7F15499,8/31/2024,62.21
CUST00036,ORDCEAD55D6,6/14/2024,12.55
CUST00036,ORD13FE9763,8/11/2024,161.05
CUST00037,ORD3F75698A,5/1/2024,383.06
CUST00037,ORDAADEBFBB,4/26/2024,60.09
CUST00037,ORDD3A416FF,1/2/2024,52.78
CUST00037,ORDA8B653E0,11/24/2024,221.18
CUST00037,ORD34C93CF1,1/31/2024,282.92
CUST00037,ORD175ADBC8,11/24/2024,261.1
CUST00037,ORD73AC077F,6/14/2024,60.61
CUST00037,ORD0E3522D7,2/27/2024,53.91
CUST00037,ORDE1D1FB9D,11/5/2024,281.57
CUST00037,ORDEF1987A9,3/2/2024,302.49
CUST00037,ORD62173867,8/24/2024,394.37
CUST00037,ORD377E1F1E,12/16/2023,433.22
CUST00038,ORDB62E3891,4/25/2024,153.01
CUST00039,ORD2DD26F33,8/24/2024,391.79
CUST00039,ORDC406714F,2/18/2025,365.17
CUST00039,ORD9761F2A6,1/17/2025,284.17
CUST00039,ORDBAD7959D,12/31/2024,496.44
CUST00039,ORD043F22AD,2/22/2024,128.94
CUST00039,ORD9AF81CB5,10/21/2024,265.34
CUST00039,ORD052AF440,2/16/2024,345.8
CUST00039,ORD16E2A425,4/23/2025,93.06
CUST00039,ORD9D8F970C,5/27/2024,141.77
CUST00039,ORD169755F6,11/14/2024,141.52
CUST00039,ORD7BC5F975,12/27/2023,81.51
CUST00039,ORD15A2DA02,12/7/2024,91.93
CUST00039,ORD4BE887B7,4/18/2024,145.22
